f_CID,f_Index,f_Type,f_Rank,f_Name,f_Skill,f_Ability,f_BuyPrice,f_SellPrice,f_Quantity
1,1,3,Valuable,기파랑,지력 A,1턴간 Int+4,4100,2050,100
2,2,3,Normal,노포크,이동 C,3턴간 Move+4,980,490,100
4,3,3,Normal,닐라,공격 C,3턴간 Attack+4,1250,625,100
5,4,3,Normal,라쉬카,지력 C,3턴간 Int+2,980,490,100
6,5,3,Valuable,록슬리,공격 A,1턴간 공격 주사위 +2개,4000,2000,100
7,6,3,Normal,롤랑,방어 B,2턴간 방어 주사위 +1개,1500,750,100
8,7,3,Normal,리슐리외,공격 B,2턴간 공격 주사위 +1개,2100,1050,100
9,8,3,Normal,마르자나,공격 B,2턴간 공격 주사위 +1개,3800,1900,100
10,9,3,Normal,마리아애슬린,이동 B,2턴간 이동 주사위 +1개,1580,790,100
11,10,3,Normal,마법사,이동 D,1턴간 Move+4,80,40,100
12,11,3,Normal,말콤,이동 C,3턴간 Move+4,1320,660,100
13,12,3,Normal,무슬림,이동 D,1턴간 Move+4,80,40,100
14,13,3,Normal,무카파,방어 B,2턴간 방어 주사위 +1개,2230,1115,100
15,14,3,Normal,바시바조크,이동 D,1턴간 Move+4,50,25,100
16,15,3,Normal,바이올라,방어 B,2턴간 방어 주사위 +1개,1550,775,100
17,16,3,Normal,바자,이동 C,3턴간 Move+4,980,490,100
18,17,3,Normal,발라,이동 B,2턴간 이동 주사위 +1개,2700,1350,100
19,18,3,Valuable,버몬트,Keeper,2턴간 자신을 몬스터화,14900,7450,100
20,19,3,Valuable,벨제부르,공격 A,1턴간 공격 주사위 +2개,7150,3575,100
21,20,3,Normal,보르스,공격 C,3턴간 Attack+4,1270,635,100
22,21,3,Normal,사피알딘,공격 C,3턴간 Attack+4,1400,700,100
23,22,3,Valuable,살라딘,순간이동,1~15칸 사이를 랜덤하게 워프,21500,10750,100
24,23,3,Normal,샤프리아르,지력 B,2턴간 Int+3,1350,675,100
25,24,3,Normal,세시,이동 C,3턴간 Move+4,950,475,100
26,25,3,Valuable,셰라자드,팀지력+,팀원들의 지력을 2턴간 +3,21000,10500,100
27,26,3,Normal,솔져,이동 D,1턴간 Move+4,50,25,100
28,27,3,Valuable,시안,방어 A,1턴간 방어 주사위 +2개,6300,3150,100
29,28,3,Normal,시즈,이동 B,2턴간 이동 주사위 +1개,1900,950,100
30,29,3,Normal,심넬램버트,공격 B,2턴간 공격 주사위 +1개,1720,860,100
31,30,3,Normal,아델라이데,지력 B,2턴간 Int+3,1330,665,100
32,31,3,Normal,아두스베이,이동 B,2턴간 이동 주사위 +1개,1800,900,100
33,32,3,Normal,알무파샤,지력 B,2턴간 Int+3,2180,1090,100
34,33,3,Normal,알아샤,지력 B,2턴간 Int+3,1600,800,100
35,34,3,Normal,알이스파니히,방어 C,3턴간 Defend+4,660,330,100
36,35,3,Normal,알파라비,이동 B,2턴간 이동 주사위 +1개,1580,790,100
37,36,3,Normal,알가지,이동 D,1턴간 Move+4,50,25,100
38,37,3,Valuable,알바티니,방어 A,1턴간 방어 주사위 +2개,5000,2500,100
